YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,22,4,DL,13204,Orlando   FL,13487,Minneapolis   MN,1619,1855,0,0,0,1310
2015,1,22,4,DL,10821,Baltimore   MD,10397,Atlanta   GA,1900,2106,0,0,0,577
2015,1,22,4,DL,10397,Atlanta   GA,12339,Indianapolis   IN,1914,2050,0,0,0,432
2015,1,22,4,DL,13495,New Orleans   LA,13487,Minneapolis   MN,1530,1815,33,1,0,1039
2015,1,22,4,DL,14869,Salt Lake City   UT,12892,Los Angeles   CA,1647,1745,14,0,0,590
2015,1,22,4,DL,14100,Philadelphia   PA,10397,Atlanta   GA,1805,2044,0,0,0,666
2015,1,22,4,DL,14679,San Diego   CA,13487,Minneapolis   MN,1230,1816,0,0,0,1532
2015,1,22,4,DL,12448,Jackson/Vicksburg   MS,10397,Atlanta   GA,600,824,0,0,0,341
2015,1,20,2,DL,12953,New York   NY,13303,Miami   FL,910,1245,0,0,0,1096
2015,1,20,2,DL,13487,Minneapolis   MN,10299,Anchorage   AK,1735,2054,6,0,0,2519
2015,1,20,2,DL,11057,Charlotte   NC,10397,Atlanta   GA,1315,1442,0,0,0,226
2015,1,20,2,DL,10397,Atlanta   GA,10868,Columbia   SC,2040,2138,3,0,0,192
2015,1,20,2,DL,13487,Minneapolis   MN,12892,Los Angeles   CA,1439,1640,0,0,0,1535
2015,1,20,2,DL,11624,Key West   FL,10397,Atlanta   GA,1215,1416,5,0,0,646
2015,1,20,2,DL,10397,Atlanta   GA,15370,Tulsa   OK,1340,1454,0,0,0,674
2015,1,20,2,DL,14576,Rochester   NY,10397,Atlanta   GA,1159,1424,0,0,0,749
2015,1,20,2,DL,12217,Huntsville   AL,10397,Atlanta   GA,1100,1302,0,0,0,151
2015,1,20,2,DL,10397,Atlanta   GA,11986,Grand Rapids   MI,1205,1400,4,0,0,640
2015,1,20,2,DL,12992,Little Rock   AR,10397,Atlanta   GA,1153,1432,0,0,0,453
2015,1,20,2,DL,11697,Fort Lauderdale   FL,12953,New York   NY,700,951,0,0,0,1076
2015,1,20,2,DL,12892,Los Angeles   CA,11433,Detroit   MI,710,1442,0,0,0,1979
2015,1,20,2,DL,10397,Atlanta   GA,14730,Louisville   KY,810,929,0,0,0,321
2015,1,21,3,DL,12264,Washington   DC,10397,Atlanta   GA,940,1135,0,0,0,534
2015,1,21,3,DL,12889,Las Vegas   NV,13487,Minneapolis   MN,45,550,0,0,0,1299
2015,1,21,3,DL,10397,Atlanta   GA,10994,Charleston   SC,1049,1158,0,0,0,259
2015,1,21,3,DL,14100,Philadelphia   PA,10397,Atlanta   GA,1130,1351,0,0,0,666
2015,1,21,3,DL,10721,Boston   MA,11433,Detroit   MI,1638,1904,0,0,0,632
2015,1,21,3,DL,10397,Atlanta   GA,14107,Phoenix   AZ,810,1032,2,0,0,1587
2015,1,21,3,DL,13487,Minneapolis   MN,12889,Las Vegas   NV,1935,2108,0,0,0,1299
2015,1,21,3,DL,11433,Detroit   MI,14100,Philadelphia   PA,1402,1546,7,0,0,453
2015,1,21,3,DL,12191,Houston   TX,10397,Atlanta   GA,1008,1304,0,0,0,696
2015,1,21,3,DL,11433,Detroit   MI,13487,Minneapolis   MN,822,939,0,0,0,528
2015,1,21,3,DL,10397,Atlanta   GA,14986,Sarasota/Bradenton   FL,1513,1648,3,0,0,444
2015,1,21,3,DL,12953,New York   NY,13204,Orlando   FL,1404,1717,0,0,0,950
2015,1,21,3,DL,10397,Atlanta   GA,10529,Hartford   CT,950,1208,0,0,0,859
